"Format","MoTeC CSV File",,,"Workbook",""
"Venue","ks_vallelunga",,,"Worksheet",""
"Vehicle","lotus_exos_125",,,"Vehicle Desc",""
"Driver","Cassini",,,"Engine ID",""
"Device","ADL"
"Comment","Tires: Slick Medium (M)",,,"Session","HOTLAP"
"Log Date","17.02.2024",,,"Origin Time","0,000","s"
"Log Time","17:29:00",,,"Start Time","0,000","s"
"Sample Rate","20,000","Hz",,"End Time","40,950","s"
"Duration","40,950","s",,"Start Distance","0","m"
"Range","Lap 1",,,"End Distance","1711","m"


"ABS Active","ABS Enabled","AID Allow Tire Blankets","AID Auto Blip","AID Auto Clutch","AID Auto Shift","AID Fuel Rate","AID Ideal Line","AID Mech Damage","AID Stability","AID Tire Wear Rate","Air Density","Air Temp","Ballast","Best Lap Delta","Best Lap Time","Brake Bias","Brake Pos","Brake Temp FL","Brake Temp FR","Brake Temp RL","Brake Temp RR","CG Accel Lateral","CG Accel Longitudinal","CG Accel Vertical","CG Height","Camber FL","Camber FR","Camber RL","Camber RR","Car Coord X","Car Coord Y","Car Coord Z","Car Damage Front","Car Damage Left","Car Damage Rear","Car Damage Right","Car Pos Norm","Caster FL","Caster FR","Chassis Pitch Angle","Chassis Pitch Rate","Chassis Roll Angle","Chassis Roll Rate","Chassis Velocity X","Chassis Velocity Y","Chassis Velocity Z","Chassis Yaw Rate","Clutch Pos","DRS Active","DRS Available","Drive Train Speed","ERS Heat Charging","ERS Is Charging","ERS Max Energy","ERS Power Level","ERS Recovery Level","Engine Brake Setting","Engine Limiter","Engine RPM","Flags","Fuel Level","Gear","Ground Speed","HR Sample Clock","In Pit","KERS Charge","KERS Deployed Energy","KERS Input","KERS Max Energy","LR Sample Clock","Lap Invalidated","Lap Time","Lap Time2","Last Lap Time","Last Sector Time","MR Sample Clock","Max Fuel","Max Power","Max RPM","Max Sus Travel FL","Max Sus Travel FR","Max Sus Travel RL","Max Sus Travel RR","Max Torque","Max Turbo Boost","Num Tires Off Track","Penalties Enabled","Position","Raw Data Sample Rate","Ride Height FL","Ride Height FR","Ride Height RL","Ride Height RR","Road Temp","Self Align Torque FL","Self Align Torque FR","Self Align Torque RL","Self Align Torque RR","Session Lap Count","Session Time Left","Steering Angle","Surface Grip","Suspension Travel FL","Suspension Travel FR","Suspension Travel RL","Suspension Travel RR","TC Active","TC Enabled","Throttle Pos","Tire Dirt Level FL","Tire Dirt Level FR","Tire Dirt Level RL","Tire Dirt Level RR","Tire Load FL","Tire Load FR","Tire Load RL","Tire Load RR","Tire Loaded Radius FL","Tire Loaded Radius FR","Tire Loaded Radius RL","Tire Loaded Radius RR","Tire Pressure FL","Tire Pressure FR","Tire Pressure RL","Tire Pressure RR","Tire Radius FL","Tire Radius FR","Tire Radius RL","Tire Radius RR","Tire Rubber Grip FL","Tire Rubber Grip FR","Tire Rubber Grip RL","Tire Rubber Grip RR","Tire Slip Angle FL","Tire Slip Angle FR","Tire Slip Angle RL","Tire Slip Angle RR","Tire Slip Ratio FL","Tire Slip Ratio FR","Tire Slip Ratio RL","Tire Slip Ratio RR","Tire Temp Core FL","Tire Temp Core FR","Tire Temp Core RL","Tire Temp Core RR","Tire Temp Inner FL","Tire Temp Inner FR","Tire Temp Inner RL","Tire Temp Inner RR","Tire Temp Middle FL","Tire Temp Middle FR","Tire Temp Middle RL","Tire Temp Middle RR","Tire Temp Outer FL","Tire Temp Outer FR","Tire Temp Outer RL","Tire Temp Outer RR","Toe In FL","Toe In FR","Toe In RL","Toe In RR","Turbo Boost","Wheel Angular Speed FL","Wheel Angular Speed FR","Wheel Angular Speed RL","Wheel Angular Speed RR","Wind Direction","Wind Speed"
"","","","","","","","","%","%","","kg/m3","C","kg","s","s","%","%","C","C","C","C","G","G","G","mm","deg","deg","deg","deg","m","m","m","","","","","","deg","deg","deg","deg/s","deg","deg/s","m/s","m/s","m/s","deg/s","%","","","rad/s","","","MJ","","","","","rpm","","l","","km/h","","","%","kJ","%","MJ","","","s","s","s","s","","l","hp","rpm","mm","mm","mm","mm","N.m","","","","","Hz","mm","mm","mm","mm","C","N.m","N.m","N.m","N.m","","s","deg","%","mm","mm","mm","mm","","","%","","","","","N","N","N","N","mm","mm","mm","mm","psi","psi","psi","psi","mm","mm","mm","mm","%","%","%","%","deg","deg","deg","deg","%","%","%","%","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","deg","deg","deg","deg","","rad/s","rad/s","rad/s","rad/s","deg","km/h"


"0,0000","1","0","1","1","0","0","1","0","100","1","1,18560","26","0","0,000000","0,000","59,999990000","0,00","26","26","26","26","-0,086","0,3738","0,0347","293,991","-2,7077","-2,677","-1,5072","-1,5682","-275,68","216,30","190,988","0","0","0","0","0,0016","-5,4982","-5,4982","-0,5545","1,424","-0,021","-0,861","65,340","-0,0474","-0,2125","1,06","100,00","1,0000","1,0000","202,20","0","0","0","0","0","0","0,0000","9387,4","0","55","4,0000","235,19","0,0000","0","0","0","0","0","0,0000","0","0,003","0,003","0,000","0,000","0,0000","55","616,79921","10000","85,0000000000","85,0000000000","85,0000000000","85,0000000000","395","0","0","0","1","20,00","52,612","52,612","49,728","49,728","34","-27,82","24,42","-29,12","22,92","0,0000","1783,268","0,80","100","27,454","26,507","40,726","40,516","0,0000","1","100,00","0","0","0","0","3123","3493,1","4050","3883,7","305,354","303,660","315,033","315,142","21,7711","20,5058","21,7463","21,2639","314,999990000","314,999990000","324,999980000","324,999980000","99,5590","99,5071","99,5668","99,5444","-0,010","-0,125","-0,173","0,059","-0,06","-0,05","1,777","1,854","37,069","29,161","36,915","33,900","56,352","34,378","59,704","51,649","54,277","33,564","58,334","49,971","53,457","33,138","58,337","49,368","-0,012","-0,128","0,10705","0,11371","0","204,75","204,66","202,20","202,20","0","0"
"0,0000","1","0","1","1","0","0","1","0","100","1","1,18560","26","0","0,000000","0,000","59,999996000","0,00","26","26","26","26","-0,117","0,3828","0,1536","292,953","-2,6231","-2,785","-1,5181","-1,5643","-272,35","216,30","190,967","0","0","0","0","0,0035","-5,4982","-5,4982","-0,4787","-0,309","-0,069","-0,728","65,530","-0,0605","-0,1729","1,42","100,00","1,0000","1,0000","202,31","0","0","0","0","0","0","0,0000","9392,6","0","55","4,0000","235,87","1,0000","0","0","0","0","0","0,0000","0","0,054","0,054","0,000","0,000","1,0000","55","616,79921","10000","85,0000010000","85,0000010000","85,0000010000","85,0000010000","395","0","0","0","1","333,34","53,970","53,970","47,714","47,714","34","-26,62","17,04","-35,06","29,09","0,0000","1783,215","0,91","100","27,556","26,692","43,112","41,694","0,0000","1","100,00","0","0","0","0","3049","2588,2","4449","4807,7","305,587","306,581","313,932","312,862","21,7811","20,5109","21,7575","21,2732","314,999998000","314,999998000","324,999988000","324,999988000","99,5590","99,5071","99,5670","99,5446","-0,018","-0,151","-0,188","0,030","-0,07","-0,06","1,543","1,588","37,132","29,193","36,984","33,957","56,336","34,420","59,758","51,722","54,262","33,603","58,385","50,041","53,441","33,175","58,385","49,438","-0,004","-0,144","0,10617","0,10727","0","205,34","205,23","202,31","202,31","0","0"
"0,0000","1","0","1","1","0","0","1","0","100","1","1,18560","26","0","0,000000","0,000","59,999996000","0,00","26","26","26","26","-0,139","0,3511","0,0298","293,655","-2,5970","-2,807","-1,4848","-1,6190","-268,80","216,29","190,947","0","0","0","0","0,0056","-5,4982","-5,4982","-0,5414","-0,232","-0,055","2,336","65,714","-0,0792","-0,2420","1,72","100,00","1,0000","1,0000","203,45","0","0","0","0","0","0","0,0000","9445,4","0","55","4,0000","236,54","0,0000","0","0","0","0","0","0,0000","0","0,108","0,108","0,000","0,000","0,0000","55","616,79921","10000","85,0000010000","85,0000010000","85,0000010000","85,0000010000","395","0","0","0","1","166,66","52,628","52,628","49,942","49,942","34","-30,80","19,43","-27,99","19,44","0,0000","1783,163","0,81","100","28,153","26,717","42,959","41,499","0,0000","1","100,00","0","0","0","0","3386","2938,3","3714","3692,5","304,523","305,533","315,726","315,726","21,7918","20,5160","21,7689","21,2826","314,999998000","314,999998000","324,999988000","324,999988000","99,5591","99,5071","99,5672","99,5448","-0,037","-0,163","-0,222","0,003","-0,07","-0,08","1,827","1,896","37,199","29,225","37,056","34,017","56,323","34,460","59,804","51,791","54,249","33,640","58,429","50,108","53,428","33,210","58,426","49,502","-0,008","-0,139","0,09551","0,11519","0","205,92","205,76","203,45","203,45","0","0"
"0,0000","1","0","1","1","0","0","1","0","100","1","1,18560","26","0","0,000000","0,000","59,999996000","0,00","26","26","26","26","-0,140","0,3664","-0,0330","293,381","-2,7292","-2,694","-1,5135","-1,5927","-265,84","216,28","190,930","0","0","0","0","0,0073","-5,4982","-5,4982","-0,5019","0,839","-0,010","-0,642","65,878","-0,0969","-0,1904","1,34","100,00","1,0000","1,0000","203,62","0","0","0","0","0","0","0,0000","9453,0","0","55","4,0000","237,12","1,0000","0","0","0","0","0","0,0000","0","0,153","0,153","0,000","0,000","1,0000","55","616,79921","10000","85,0000010000","85,0000010000","85,0000010000","85,0000010000","395","0","0","0","1","166,66","53,711","53,711","47,928","47,928","34","-25,56","18,02","-35,14","22,82","0,0000","1783,119","0,55","100","27,851","26,967","42,607","41,594","0,0000","1","100,00","0","0","0","0","2839","2783,5","4340","4239,5","306,115","305,766","314,288","314,318","21,8006","20,5206","21,7783","21,2906","314,999998000","314,999998000","324,999988000","324,999988000","99,5591","99,5071","99,5673","99,5449","-0,020","-0,151","-0,226","-0,006","-0,05","-0,06","1,672","1,735","37,253","29,253","37,115","34,066","56,309","34,499","59,844","51,854","54,235","33,675","58,465","50,168","53,413","33,243","58,459","49,562","-0,041","-0,109","0,10697","0,10428","0","206,44","206,32","203,62","203,62","0","0"
"0,0000","1","0","1","1","0","0","1","0","100","1","1,18560","26","0","0,000000","0,000","59,999996000","0,00","26","26","26","26","-0,164","0,3507","-0,0140","293,564","-2,6578","-2,751","-1,5286","-1,6054","-262,48","216,26","190,910","0","0","0","0","0,0093","-5,4982","-5,4982","-0,5314","-0,973","-0,080","-0,770","66,057","-0,0938","-0,2237","1,13","100,00","1,0000","1,0000","204,27","0","0","0","0","0","0","0,0000","9483,4","0","55","4,0000","237,77","0,0000","0","0","0","0","0","0,0000","0","0,204","0,204","0,000","0,000","0,0000","55","616,79921","10000","85,0000010000","85,0000010000","85,0000010000","85,0000010000","395","0","0","0","1","333,34","53,406","53,406","48,355","48,355","34","-28,61","19,34","-32,15","20,61","0,0000","1783,066","0,61","100","27,603","26,494","43,180","41,757","0,0000","1","100,00","0","0","0","0","3166","2947,0","4117","3720,3","305,250","305,497","314,689","315,542","21,8102","20,5256","21,7893","21,2996","314,999998000","314,999998000","324,999988000","324,999988000","99,5591","99,5071","99,5675","99,5451","-0,029","-0,155","-0,205","0,016","-0,05","-0,05","1,718","1,764","37,314","29,285","37,183","34,123","56,290","34,540","59,894","51,922","54,218","33,712","58,511","50,233","53,395","33,279","58,502","49,625","-0,024","-0,123","0,10310","0,11257","0","206,94","206,82","204,27","204,27","0","0"
"0,0000","1","0","1","1","0","0","1","0","100","1","1,18560","26","0","0,000000","0,000","59,999996000","0,00","26","26","26","26","-0,147","0,3697","-0,0118","293,594","-2,6672","-2,775","-1,5093","-1,5926","-258,90","216,25","190,889","0","0","0","0","0,0113","-5,4982","-5,4982","-0,5254","0,428","-0,083","1,156","66,247","-0,0950","-0,2025","1,07","100,00","1,0000","1,0000","204,82","0","0","0","0","0","0","0,0000","9508,9","0","55","4,0000","238,45","1,0000","0","0","0","0","0","0,0000","0","0,258","0,258","0,000","0,000","1,0000","55","616,79921","10000","85,0000010000","85,0000010000","85,0000010000","85,0000010000","395","0","0","0","1","166,66","53,726","53,726","48,660","48,660","34","-26,96","19,60","-32,92","22,48","0,0000","1783,014","0,22","100","27,748","26,410","42,901","41,335","0,0000","1","100,00","0","0","0","0","3074","2814,8","4172","4104,9","305,406","305,926","314,661","314,691","21,8208","20,5309","21,8007","21,3091","314,999998000","314,999998000","324,999988000","324,999988000","99,5591","99,5071","99,5676","99,5452","-0,006","-0,127","-0,219","0,006","-0,05","-0,07","1,723","1,753","37,380","29,318","37,254","34,182","56,275","34,582","59,942","51,991","54,203","33,752","58,557","50,299","53,380","33,317","58,546","49,690","-0,056","-0,087","0,10846","0,10951","0","207,55","207,49","204,82","204,82","0","0"
"0,0000","1","0","1","1","0","0","1","0","100","1","1,18560","26","0","0,000000","0,000","59,999996000","0,00","26","26","26","26","-0,121","0,3526","0,0036","293,457","-2,6397","-2,805","-1,5544","-1,5856","-255,72","216,23","190,870","0","0","0","0","0,0132","-5,4982","-5,4982","-0,5203","0,105","-0,063","0,954","66,415","-0,0884","-0,2024","0,72","100,00","1,0000","1,0000","205,32","0","0","0","0","0","0","0,0000","9532,0","0","55","4,0000","239,06","0,0000","0","0","0","0","0","0,0000","0","0,306","0,306","0,000","0,000","0,0000","55","616,79921","10000","85,0000010000","85,0000010000","85,0000010000","85,0000010000","395","0","0","0","1","166,66","53,452","53,452","48,447","48,447","34","-26,19","21,40","-32,28","22,99","0,0000","1782,966","0,05","100","27,635","26,479","42,968","41,684","0,0000","1","100,00","0","0","0","0","3066","2952,9","4106","4076,3","305,381","305,414","314,804","314,758","21,8302","20,5357","21,8109","21,3177","314,999998000","314,999998000","324,999988000","324,999988000","99,5591","99,5071","99,5678","99,5454","0,007","-0,119","-0,206","0,021","-0,04","-0,06","1,722","1,744","37,438","29,348","37,318","34,236","56,260","34,620","59,986","52,057","54,189","33,787","58,599","50,362","53,365","33,350","58,584","49,752","-0,071","-0,078","0,10532","0,10970","0","208,06","207,99","205,32","205,32","0","0"
