"Format","MoTeC CSV File",,,"Workbook",""
"Venue","ks_vallelunga",,,"Worksheet",""
"Vehicle","lotus_exos_125",,,"Vehicle Desc",""
"Driver","Cassini",,,"Engine ID",""
"Device","ADL"
"Comment","Tires: Slick Medium (M)",,,"Session","HOTLAP"
"Log Date","25.02.2024",,,"Origin Time","0,000","s"
"Log Time","12:38:00",,,"Start Time","0,000","s"
"Sample Rate","20,000","Hz",,"End Time","41,050","s"
"Duration","41,050","s",,"Start Distance","0","m"
"Range","Lap 1",,,"End Distance","1715","m"


"ABS Active","ABS Enabled","AID Allow Tire Blankets","AID Auto Blip","AID Auto Clutch","AID Auto Shift","AID Fuel Rate","AID Ideal Line","AID Mech Damage","AID Stability","AID Tire Wear Rate","Air Density","Air Temp","Ballast","Best Lap Delta","Best Lap Time","Brake Bias","Brake Pos","Brake Temp FL","Brake Temp FR","Brake Temp RL","Brake Temp RR","CG Accel Lateral","CG Accel Longitudinal","CG Accel Vertical","CG Height","Camber FL","Camber FR","Camber RL","Camber RR","Car Coord X","Car Coord Y","Car Coord Z","Car Damage Front","Car Damage Left","Car Damage Rear","Car Damage Right","Car Pos Norm","Caster FL","Caster FR","Chassis Pitch Angle","Chassis Pitch Rate","Chassis Roll Angle","Chassis Roll Rate","Chassis Velocity X","Chassis Velocity Y","Chassis Velocity Z","Chassis Yaw Rate","Clutch Pos","DRS Active","DRS Available","Drive Train Speed","ERS Heat Charging","ERS Is Charging","ERS Max Energy","ERS Power Level","ERS Recovery Level","Engine Brake Setting","Engine Limiter","Engine RPM","Flags","Fuel Level","Gear","Ground Speed","HR Sample Clock","In Pit","KERS Charge","KERS Deployed Energy","KERS Input","KERS Max Energy","LR Sample Clock","Lap Invalidated","Lap Time","Lap Time2","Last Lap Time","Last Sector Time","MR Sample Clock","Max Fuel","Max Power","Max RPM","Max Sus Travel FL","Max Sus Travel FR","Max Sus Travel RL","Max Sus Travel RR","Max Torque","Max Turbo Boost","Num Tires Off Track","Penalties Enabled","Position","Raw Data Sample Rate","Ride Height FL","Ride Height FR","Ride Height RL","Ride Height RR","Road Temp","Self Align Torque FL","Self Align Torque FR","Self Align Torque RL","Self Align Torque RR","Session Lap Count","Session Time Left","Steering Angle","Surface Grip","Suspension Travel FL","Suspension Travel FR","Suspension Travel RL","Suspension Travel RR","TC Active","TC Enabled","Throttle Pos","Tire Dirt Level FL","Tire Dirt Level FR","Tire Dirt Level RL","Tire Dirt Level RR","Tire Load FL","Tire Load FR","Tire Load RL","Tire Load RR","Tire Loaded Radius FL","Tire Loaded Radius FR","Tire Loaded Radius RL","Tire Loaded Radius RR","Tire Pressure FL","Tire Pressure FR","Tire Pressure RL","Tire Pressure RR","Tire Radius FL","Tire Radius FR","Tire Radius RL","Tire Radius RR","Tire Rubber Grip FL","Tire Rubber Grip FR","Tire Rubber Grip RL","Tire Rubber Grip RR","Tire Slip Angle FL","Tire Slip Angle FR","Tire Slip Angle RL","Tire Slip Angle RR","Tire Slip Ratio FL","Tire Slip Ratio FR","Tire Slip Ratio RL","Tire Slip Ratio RR","Tire Temp Core FL","Tire Temp Core FR","Tire Temp Core RL","Tire Temp Core RR","Tire Temp Inner FL","Tire Temp Inner FR","Tire Temp Inner RL","Tire Temp Inner RR","Tire Temp Middle FL","Tire Temp Middle FR","Tire Temp Middle RL","Tire Temp Middle RR","Tire Temp Outer FL","Tire Temp Outer FR","Tire Temp Outer RL","Tire Temp Outer RR","Toe In FL","Toe In FR","Toe In RL","Toe In RR","Turbo Boost","Wheel Angular Speed FL","Wheel Angular Speed FR","Wheel Angular Speed RL","Wheel Angular Speed RR","Wind Direction","Wind Speed"
"","","","","","","","","%","%","","kg/m3","C","kg","s","s","%","%","C","C","C","C","G","G","G","mm","deg","deg","deg","deg","m","m","m","","","","","","deg","deg","deg","deg/s","deg","deg/s","m/s","m/s","m/s","deg/s","%","","","rad/s","","","MJ","","","","","rpm","","l","","km/h","","","%","kJ","%","MJ","","","s","s","s","s","","l","hp","rpm","mm","mm","mm","mm","N.m","","","","","Hz","mm","mm","mm","mm","C","N.m","N.m","N.m","N.m","","s","deg","%","mm","mm","mm","mm","","","%","","","","","N","N","N","N","mm","mm","mm","mm","psi","psi","psi","psi","mm","mm","mm","mm","%","%","%","%","deg","deg","deg","deg","%","%","%","%","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","deg","deg","deg","deg","","rad/s","rad/s","rad/s","rad/s","deg","km/h"


"0,0000","0","0","1","1","0","0","1","0","100","1","1,18560","26","0","0,000000","0,000","59,999990000","0,00","26","26","26","26","-0,104","0,1491","0,1115","293,594","-0,2691","-0,1984","-0,0904","-0,1317","-275,75","216,26","190,988","0","0","0","0","0,0016","-5,4982","-5,4982","-0,6099","1,198","-0,012","-1,168","65,282","-0,0103","-0,2763","1,25","100,00","1,0000","1,0000","201,50","0","0","0","0","0","0","0,0000","8540,9","0","55","5,0000","235,00","0,0000","0","0","0","0","0","0,0000","0","0,003","0,003","0,000","0,000","0,0000","55","616,79921","10000","85,0000000000","85,0000000000","85,0000000000","85,0000000000","395","0","0","0","1","20,00","50,385","50,385","50,903","50,903","34","23,89","-36,63","-31,66","27,45","0,0000","1783,425","1,58","100","28,276","27,709","40,254","40,333","0","0","100,00","0","0","0","0","3537","3839,8","3734","3597,9","304,136","302,550","315,875","315,892","21,808","20,6034","21,8656","21,2927","314,999990000","314,999990000","324,999980000","324,999980000","99,5619","99,5130","99,5723","99,5443","0,499","-0,696","-0,648","0,571","-0,05","-0,04","1,407","1,454","37,302","29,771","37,660","34,079","55,864","37,012","60,451","50,380","55,435","36,569","60,194","49,630","56,300","36,650","61,361","49,930","-0,477","-0,720","0,6173","0,5942","0","204,60","204,44","201,50","201,50","0","0"
"0,0000","0","0","1","1","0","0","1","0","100","1","1,18560","26","0","0,000000","0,000","59,999996000","0,00","26","26","26","26","-0,094","0,3266","0,0828","292,542","-0,1921","-0,3042","-0,1019","-0,1283","-272,42","216,26","190,967","0","0","0","0","0,0035","-5,4982","-5,4982","-0,4865","0,557","-0,054","0,396","65,433","-0,0458","-0,1865","1,14","100,00","1,0000","1,0000","201,65","0","0","0","0","0","0","0,0000","8547,2","0","55","5,0000","235,53","1,0000","0","0","0","0","0","0,0000","0","0,054","0,054","0,000","0,000","1,0000","55","616,79921","10000","85,0000010000","85,0000010000","85,0000010000","85,0000010000","395","0","0","0","1","333,34","53,329","53,329","47,516","47,516","34","19,09","-21,60","-44,53","37,22","0,0000","1783,374","1,29","100","28,577","27,884","42,578","41,653","0","0","100,00","0","0","0","0","2853","2504,8","4684","4920,1","306,019","306,891","313,396","312,585","21,819","20,6096","21,8771","21,3017","314,999998000","314,999998000","324,999988000","324,999988000","99,5619","99,5131","99,5725","99,5445","0,490","-0,704","-0,684","0,521","-0,00","-0,02","1,352","1,430","37,367","29,810","37,732","34,136","55,874","37,072","60,502","50,451","55,445","36,627","60,245","49,701","56,308","36,710","61,410","50,002","-0,499","-0,695","0,6214","0,5913","0","205,05","204,94","201,65","201,65","0","0"
"0,0000","0","0","1","1","0","0","1","0","100","1","1,18560","26","0","0,000000","0,000","59,999996000","0,00","26","26","26","26","-0,119","0,2697","-0,1666","293,503","-0,1744","-0,3198","-0,0968","-0,1776","-269,08","216,25","190,949","0","0","0","0","0,0054","-5,4982","-5,4982","-0,5602","-0,672","-0,033","2,159","65,571","-0,0481","-0,2685","0,95","100,00","1,0000","1,0000","202,69","0","0","0","0","0","0","0,0000","8591,2","0","55","5,0000","236,03","0,0000","0","0","0","0","0","0,0000","0","0,105","0,105","0,000","0,000","0,0000","55","616,79921","10000","85,0000010000","85,0000010000","85,0000010000","85,0000010000","395","0","0","0","1","333,34","51,941","51,941","50,217","50,217","34","20,48","-28,35","-30,98","24,60","0,0000","1783,324","1,85","100","28,654","27,496","42,785","41,867","0","0","100,00","0","0","0","0","3325","2990,0","3603","3542,5","304,609","305,404","316,001","316,107","21,829","20,6153","21,8882","21,3105","314,999998000","314,999998000","324,999988000","324,999988000","99,5620","99,5131","99,5726","99,5446","0,436","-0,759","-0,687","0,530","-0,07","-0,04","1,700","1,744","37,431","29,846","37,801","34,191","55,881","37,133","60,549","50,520","55,451","36,686","60,290","49,768","56,314","36,770","61,453","50,070","-0,458","-0,738","0,6179","0,5933","0","205,43","205,29","202,69","202,69","0","0"
"0,0000","0","0","1","1","0","0","1","0","100","1","1,18560","26","0","0,000000","0,000","59,999996000","0,00","26","26","26","26","-0,142","0,2918","-0,0149","293,167","-0,2896","-0,2234","-0,0912","-0,1661","-265,93","216,24","190,930","0","0","0","0","0,0073","-5,4982","-5,4982","-0,5189","1,245","-0,007","-0,732","65,710","-0,0565","-0,2074","1,48","100,00","1,0000","1,0000","202,82","0","0","0","0","0","0","0,0000","8596,7","0","55","5,0000","236,53","1,0000","0","0","0","0","0","0,0000","0","0,153","0,153","0,000","0,000","1,0000","55","616,79921","10000","85,0000010000","85,0000010000","85,0000010000","85,0000010000","395","0","0","0","1","333,34","52,902","52,902","48,172","48,172","34","17,46","-26,74","-40,62","29,93","0,0000","1783,276","1,62","100","28,342","27,692","42,264","41,572","0","0","100,00","0","0","0","0","2928","2817,3","4374","4154,5","305,820","305,684","314,273","314,577","21,839","20,6211","21,8985","21,3186","314,999998000","314,999998000","324,999988000","324,999988000","99,5620","99,5132","99,5728","99,5448","0,457","-0,734","-0,704","0,518","-0,05","-0,05","1,531","1,578","37,492","29,882","37,865","34,242","55,887","37,197","60,590","50,584","55,456","36,749","60,329","49,832","56,318","36,834","61,492","50,135","-0,467","-0,725","0,6239","0,6020","0","205,96","205,81","202,82","202,82","0","0"
"0,0000","0","0","1","1","0","0","1","0","100","1","1,18560","26","0","0,000000","0,000","59,999996000","0,00","26","26","26","26","-0,128","0,2856","-0,0130","293,320","-0,2261","-0,2756","-0,1185","-0,1699","-262,57","216,23","190,911","0","0","0","0","0,0092","-5,4982","-5,4982","-0,5403","-1,135","-0,065","-0,732","65,856","-0,0766","-0,2336","1,39","100,00","1,0000","1,0000","203,30","0","0","0","0","0","0","0,0000","8617,0","0","55","5,0000","237,05","0,0000","0","0","0","0","0","0,0000","0","0,204","0,204","0,000","0,000","0,0000","55","616,79921","10000","85,0000010000","85,0000010000","85,0000010000","85,0000010000","395","0","0","0","1","333,34","52,887","52,887","48,279","48,279","34","19,96","-27,07","-37,78","26,30","0,0000","1783,226","1,30","100","28,050","27,187","43,153","41,884","0","0","100,00","0","0","0","0","3136","2954,0","4094","3747,8","305,384","305,509","314,784","315,470","21,849","20,6271","21,9098","21,3275","314,999998000","314,999998000","324,999988000","324,999988000","99,5621","99,5133","99,5730","99,5450","0,471","-0,722","-0,699","0,514","-0,04","-0,07","1,560","1,621","37,555","29,919","37,936","34,297","55,890","37,260","60,641","50,654","55,459","36,810","60,380","49,901","56,319","36,897","61,540","50,205","-0,491","-0,700","0,6104","0,6018","0","206,35","206,20","203,30","203,30","0","0"
"0,0000","0","0","1","1","0","0","1","0","100","1","1,18560","26","0","0,000000","0,000","59,999996000","0,00","26","26","26","26","-0,129","0,3075","-0,0330","293,442","-0,2330","-0,2991","-0,0955","-0,1620","-259,21","216,21","190,891","0","0","0","0","0,0112","-5,4982","-5,4982","-0,5413","0,492","-0,077","-0,361","65,999","-0,0857","-0,2205","0,97","100,00","1,0000","1,0000","203,77","0","0","0","0","0","0","0,0000","8636,9","0","55","5,0000","237,57","1,0000","0","0","0","0","0","0,0000","0","0,255","0,255","0,000","0,000","1,0000","55","616,79921","10000","85,0000010000","85,0000010000","85,0000010000","85,0000010000","395","0","0","0","1","166,66","53,070","53,070","48,935","48,935","34","19,86","-25,38","-38,26","27,16","0,0000","1783,176","0,99","100","28,073","27,165","42,737","41,482","0","0","100,00","0","0","0","0","3194","2783,7","4119","3988,4","305,223","305,896","314,910","314,926","21,859","20,6331","21,9208","21,3361","314,999998000","314,999998000","324,999988000","324,999988000","99,5622","99,5134","99,5732","99,5451","0,460","-0,725","-0,719","0,492","-0,06","-0,04","1,575","1,614","37,620","29,957","38,005","34,350","55,899","37,324","60,688","50,719","55,468","36,873","60,424","49,965","56,327","36,960","61,583","50,270","-0,515","-0,670","0,6181","0,5976","0","206,81","206,66","203,77","203,77","0","0"
"0,0000","0","0","1","1","0","0","1","0","100","1","1,18560","26","0","0,000000","0,000","59,999996000","0,00","26","26","26","26","-0,124","0,2904","-0,0065","293,350","-0,1982","-0,2852","-0,1320","-0,2051","-256,04","216,19","190,871","0","0","0","0","0,0130","-5,4982","-5,4982","-0,5299","0,136","-0,065","-0,578","66,134","-0,0739","-0,2141","0,73","100,00","1,0000","1,0000","204,15","0","0","0","0","0","0","0,0000","8653,4","0","55","5,0000","238,05","0,0000","0","0","0","0","0","0,0000","0","0,303","0,303","0,000","0,000","0,0000","55","616,79921","10000","85,0000010000","85,0000010000","85,0000010000","85,0000010000","395","0","0","0","1","333,34","53,040","53,040","48,630","48,630","34","20,34","-26,41","-38,49","28,33","0,0000","1783,125","1,03","100","27,809","27,044","42,824","41,729","0","0","100,00","0","0","0","0","3220","2874,0","4140","3948,9","305,154","305,567","314,842","314,965","21,869","20,6388","21,9313","21,3445","314,999998000","314,999998000","324,999988000","324,999988000","99,5622","99,5135","99,5733","99,5453","0,459","-0,722","-0,707","0,506","-0,06","-0,04","1,562","1,567","37,681","29,993","38,071","34,403","55,907","37,384","60,733","50,785","55,475","36,932","60,468","50,031","56,332","37,020","61,626","50,336","-0,513","-0,668","0,6111","0,5927","0","207,21","207,10","204,15","204,15","0","0"
